FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
1001,872679.179,1094432.99,1998,27,11.3,17.08,1.38,0.057,82
1003,789777.5039,884557.0795,1998,25.9,11,13.13,1.43,0.082,84
1005,997210.9974,1033023.763,1998,28.9,22.7,15.8,1.04,0.021,87
1007,822862.4715,1141553.577,1998,30.1,16.9,17.49,1.44,0.126,80
1009,863725.1736,1255735.164,1998,29.4,12.9,18.32,2.35,0.162,84
1011,964066.8275,1055199.419,1998,28.1,28,15.99,1.27,0.024,81
1013,877731.5725,1007285.71,1998,27.6,23.4,14.78,1.17,0.03,79
1015,933856.5711,1239468.533,1998,28.7,16.1,16.7,1.72,0.147,91
1017,984214.6861,1148648.711,1998,28.6,16.8,16.23,1.25,0.081,79
1019,949215.6474,1286592.363,1998,30,16.1,18.18,1.8,0.166,89
1021,862209.9831,1128435.63,1998,29.6,16,17.39,1.38,0.107,82
1023,726606.4744,1023615.755,1998,26.4,21.1,14.97,1.24,0.054,76
1025,770408.8693,988910.4968,1998,26.2,20.9,14.49,1.18,0.081,76
1027,936619.6404,1183406.326,1998,28.8,14.5,15.52,1.47,0.12,88
1029,963188.5886,1231820.526,1998,29.8,14.4,16.01,1.49,0.179,89
1031,946787.0873,975094.3328,1998,25.5,14.5,15.81,0.85,0.026,82
1033,743789.2745,1325454.106,1998,27.7,14,18.22,2.02,0.101,83
1035,851719.0504,968600.8416,1998,27.2,25.7,13.83,1,0.046,82
1037,904809.5675,1142654.543,1998,28.4,15.8,16.18,1.51,0.101,81
1039,904857.0021,953605.3385,1998,27.9,19.7,14.94,0.84,0.033,82
1041,912418.1539,1008415.674,1998,28,20.4,15.45,1.15,0.024,79
1043,834706.1576,1269855.848,1998,29.1,13.2,19.14,2.3,0.175,84
1045,981951.9843,982254.8233,1998,27.7,16.9,15.87,0.89,0.023,81
1047,831746.8892,1067060.135,1998,27.3,28,16.9,1.25,0.055,85
1049,927594.6994,1316221.413,1998,30.5,16.2,18.45,1.89,0.119,89
1051,917880.3462,1105980.039,1998,26.5,12.6,17.27,1.23,0.054,81
1053,839009.4497,933580.2072,1998,30,20.2,14.13,0.94,0.065,81
1055,911548.6958,1267867.342,1998,30.1,16.2,18.5,1.84,0.121,89
